  1.70  0.41  0.97  0.77 18.00   0.461   0.945 -51.261
  1.70  0.41  0.97  0.77 54.00   1.043   1.568 -33.499
  1.70  0.41  0.97  0.77 90.00   1.259   1.609 -21.767
  1.70  0.41  0.97  0.77126.00   1.349   1.687 -20.037
  1.70  0.41  0.97  0.77162.00   0.849   1.152 -26.267
  1.70  0.41  0.97  0.77198.00  -0.849  -1.152 -26.267
  1.70  0.41  0.97  0.77234.00  -1.349  -1.687 -20.037
  1.70  0.41  0.97  0.77270.00  -1.259  -1.609 -21.767
  1.70  0.41  0.97  0.77306.00  -1.043  -1.568 -33.499
  1.70  0.41  0.97  0.77342.00  -0.461  -0.945 -51.261
