  1.49  0.41  0.98 -0.25 18.00   0.023   0.025  -9.280
  1.49  0.41  0.98 -0.25 54.00   0.059   0.065  -8.814
  1.49  0.41  0.98 -0.25 90.00   0.072   0.079  -8.302
  1.49  0.41  0.98 -0.25126.00   0.059   0.064  -8.057
  1.49  0.41  0.98 -0.25162.00   0.023   0.025  -8.017
  1.49  0.41  0.98 -0.25198.00  -0.023  -0.025  -8.017
  1.49  0.41  0.98 -0.25234.00  -0.059  -0.064  -8.057
  1.49  0.41  0.98 -0.25270.00  -0.072  -0.079  -8.302
  1.49  0.41  0.98 -0.25306.00  -0.059  -0.065  -8.814
  1.49  0.41  0.98 -0.25342.00  -0.023  -0.025  -9.280
